,USN,10thPercentage,10thMarks,12thPercentage,Branch,CGPA,CourseName,CourseGrade,CompanyName_New,CTC,TierLevel,CoCurricularActivities,EmploymentType,EventsParticipated,GeneralSkills,Languages,MinorAttended,NoofInternships,InternshipProjectDomain,InternshipCompany,NoofProjects,ProjectDetailDomain,ProgLanguages,Publication,ResearchDomain,ScholarshipsKey,SoftwareTools,VolunteeringWork,WorkshopsOrg,WorkshopsDomain,AwardsNLPkey,ExternalCertificatesKey,ExternalCertificatesDomain
0,01FB15ECS019,96.0,96.0,90.0,CSE,9.68,"['Introduction to Computing Using Python ', 'Introduction to Computing Using Python Laboratory', 'Problem Solving with C', 'Problem Solving with C Laboratory', 'Digital Design and Computer Organization', 'Data Structures', 'Introduction to Data Sciences', 'Web Technologies-I', 'Discrete Mathematics and Logic', 'Digital Design  & Computer Organization Laboratory', 'Data Structures  Laboratory', 'Web Technology- I Laboratory ', 'Design and Analysis of Algorithms', 'Data Base Management Systems ', 'Microprocessors & Computer Architecture', 'Theory of Computation', 'Design and Analysis of Algorithms Laboratory', 'Data Base Management Systems Laboratory', 'Microprocessor & Computer Architecture  Laboratory', 'Computer Networks ', 'Introduction to Operating Systems', 'Principles of Programming Languages', 'Computer Networks Laboratory', 'Introduction to Operating Systems Laboratory', 'Principles of Programming Languages Laboratory', 'Compiler Design', 'Unix System Programming', 'Machine Learning', 'Compiler Design Laboratory', 'Unix System Programming Laboratory', 'Machine Learning Laboratory', 'Object Oriented Modeling and Design', 'Software Engineering ', 'Web Technologies II', 'Term Paper', 'Research Credits', 'Internship', 'Project Work', 'Engineering Mechanics ', 'Engineering Chemistry', 'Chemistry Laboratory', 'Basic Electronics Engineering', 'Basic Electrical Engineering ', ' Constitution of India and Professional Ethics', 'Environmental Studies', 'Unified Engineering (JEDI)', 'Engineering Mathematics - I', 'Engineering Mathematics - II  ', 'Linear Algebra & Its Applications', 'Mechanical Engineering Sciences ', 'Computer Aided Engineering Graphics', 'Engineering Physics', 'Physics Laboratory', 'Big Data', 'Data Analytics', 'Computer Network Security', 'Digital Image Processing', 'Advanced Machine Learning', 'Introduction to Software Testing']","['S', 'S', 'S', 'A', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'A', 'S', 'A', 'S', 'S', 'S', 'B', 'A', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'A', 'S', 'S', 'S', 'A', 'A', 'S', 'S', 'S', 'S', 'S', 'AP', 'AP', 'A', 'S', 'S', 'S', 'S', 'B', 'S', 'S', 'A', 'S', 'A', 'A', 'S', 'A']",Walmart Labs,18.0,1.0,,,,Team oriented and results driven##Project Management##Public Relations##Entrepreneural and marketting skills,"Kannada##Hindi##English
",Electronics and Communication Engineering,,,,,,"python##c++##c
",,,,,,,,,,cryptography##
1,01FB16ECS002,9.7,92.14999999999999,97.6,CSE,8.83,"['Introduction to Computing using Python', 'Introduction to Computing Using Python  Laboratory', 'Problem Solving With C  ', 'Problem Solving With C  Laboratory', 'Digital Design & Computer Organization', 'Data Structures ', 'Introduction to Data Science', 'Web Technologies 1', 'Discrete Mathematics and Logic', 'Digital Design  & Computer Organization Laboratory', 'Data Structures  Laboratory', 'Web Technologies 1 Laboratory ', 'Design and Analysis of Algorithms', 'Data Base Management Systems ', 'Microprocessors & Computer Architecture', 'Theory of Computation', 'Design and Analysis of Algorithms Laboratory', 'DBMS Laboratory', 'Microprocessor & Computer Architecture  Laboratory', 'Computer Networks ', 'Introduction to Operating Systems', 'Principles of Programming Languages', 'Computer Networks Laboratory', 'Introduction to Operating Systems Laboratory', 'Artificial Intelligence', 'Natural Language Processing', 'Compiler Design', 'Cloud Computing', 'Machine Learning', 'Compiler Design Laboratory', 'Machine Learning Laboratory', 'Programming with Java', 'Object Oriented Modeling and Design', 'Software Engineering ', 'Web Technologies II', 'Algorithms for Information Retrieval', 'Social Network Analytics', 'Research Methodology', 'Internship', 'Project Work - Minor', 'Engineering Mechanics', 'Engineering Chemistry', 'Chemistry Laboratory ', 'Basic Electronics Engineering', 'Basic Electrical Engineering', 'Constitution of India and Professional Ethics ', 'Environmental Studies', 'Unified Engineering', 'Enginering Mathematics- I', 'Engineering Mathematics - II  ', 'Linear Algebra and its Applications', 'Mechanical Engineering Sciences', 'Computer Aided Engineering Graphics', 'Enginering Physics', 'Physics Laboratory ', 'Multimedia Computing', 'Digital Image Processing']","['C', 'A', 'B', 'A', 'S', 'A', 'B', 'A', 'A', 'S', 'A', 'A', 'B', 'A', 'A', 'B', 'A', 'A', 'S', 'S', 'S', 'A', 'A', 'S', 'S', 'A', 'A', 'B', 'A', 'S', 'A', 'B', 'A', 'A', 'A', 'S', 'A', 'B', 'A', 'A', 'B', 'B', 'A', 'B', 'C', 'AP', 'AP', 'B', 'B', 'B', 'S', 'S', 'A', 'C', 'A', 'S', 'S']",TheMathCompany,4.5,2.0,,Full time employment + Internship (Mandatory),,,"English##Telugu##Hindi
",,,,,7.0,Cloud computing##Operating System##Machine Learning##Database Management System##Web Development##Compiler Design##IoT##Natural Language Processing##Image Processing##Algorithms##,C##Python ##Java##HTML ##CSS##PHP##MYSQL.,,,cnr##,,,,,distinction award##,,
2,01FB16ECS002,9.7,92.14999999999999,97.6,CSE,8.83,"['Introduction to Computing using Python', 'Introduction to Computing Using Python  Laboratory', 'Problem Solving With C  ', 'Problem Solving With C  Laboratory', 'Digital Design & Computer Organization', 'Data Structures ', 'Introduction to Data Science', 'Web Technologies 1', 'Discrete Mathematics and Logic', 'Digital Design  & Computer Organization Laboratory', 'Data Structures  Laboratory', 'Web Technologies 1 Laboratory ', 'Design and Analysis of Algorithms', 'Data Base Management Systems ', 'Microprocessors & Computer Architecture', 'Theory of Computation', 'Design and Analysis of Algorithms Laboratory', 'DBMS Laboratory', 'Microprocessor & Computer Architecture  Laboratory', 'Computer Networks ', 'Introduction to Operating Systems', 'Principles of Programming Languages', 'Computer Networks Laboratory', 'Introduction to Operating Systems Laboratory', 'Artificial Intelligence', 'Natural Language Processing', 'Compiler Design', 'Cloud Computing', 'Machine Learning', 'Compiler Design Laboratory', 'Machine Learning Laboratory', 'Programming with Java', 'Object Oriented Modeling and Design', 'Software Engineering ', 'Web Technologies II', 'Algorithms for Information Retrieval', 'Social Network Analytics', 'Research Methodology', 'Internship', 'Project Work - Minor', 'Engineering Mechanics', 'Engineering Chemistry', 'Chemistry Laboratory ', 'Basic Electronics Engineering', 'Basic Electrical Engineering', 'Constitution of India and Professional Ethics ', 'Environmental Studies', 'Unified Engineering', 'Enginering Mathematics- I', 'Engineering Mathematics - II  ', 'Linear Algebra and its Applications', 'Mechanical Engineering Sciences', 'Computer Aided Engineering Graphics', 'Enginering Physics', 'Physics Laboratory ', 'Multimedia Computing', 'Digital Image Processing']","['C', 'A', 'B', 'A', 'S', 'A', 'B', 'A', 'A', 'S', 'A', 'A', 'B', 'A', 'A', 'B', 'A', 'A', 'S', 'S', 'S', 'A', 'A', 'S', 'S', 'A', 'A', 'B', 'A', 'S', 'A', 'B', 'A', 'A', 'A', 'S', 'A', 'B', 'A', 'A', 'B', 'B', 'A', 'B', 'C', 'AP', 'AP', 'B', 'B', 'B', 'S', 'S', 'A', 'C', 'A', 'S', 'S']",NXP Semiconductors,12.15,1.0,,Full time employment only,,,"English##Telugu##Hindi
",,,,,7.0,Cloud computing##Operating System##Machine Learning##Database Management System##Web Development##Compiler Design##IoT##Natural Language Processing##Image Processing##Algorithms##,C##Python ##Java##HTML ##CSS##PHP##MYSQL.,,,cnr##,,,,,distinction award##,,
3,01FB16ECS006,95.0,95.0,96.0,CSE,9.27,"['Introduction to Computing using Python', 'Introduction to Computing Using Python  Laboratory', 'Problem Solving With C  ', 'Problem Solving With C  Laboratory', 'Digital Design & Computer Organization', 'Data Structures ', 'Introduction to Data Science', 'Web Technologies 1', 'Discrete Mathematics and Logic', 'Digital Design  & Computer Organization Laboratory', 'Data Structures  Laboratory', 'Web Technologies 1 Laboratory ', 'Design and Analysis of Algorithms', 'Data Base Management Systems ', 'Microprocessors & Computer Architecture', 'Theory of Computation', 'Design and Analysis of Algorithms Laboratory', 'DBMS Laboratory', 'Microprocessor & Computer Architecture  Laboratory', 'Computer Networks ', 'Introduction to Operating Systems', 'Principles of Programming Languages', 'Computer Networks Laboratory', 'Introduction to Operating Systems Laboratory', 'Data Analytics', 'Natural Language Processing', 'Compiler Design', 'Cloud Computing', 'Machine Learning', 'Compiler Design Laboratory', 'Machine Learning Laboratory', 'Object Oriented Modeling and Design', 'Software Engineering ', 'Web Technologies II', 'Topics in Deep Learning', 'Social Network Analytics', 'Research Methodology', 'Internship', 'Project Work - Minor', 'Engineering Mechanics', 'Engineering Chemistry', 'Chemistry Laboratory ', 'Basic Electronics Engineering', 'Basic Electrical Engineering', 'Constitution of India and Professional Ethics ', 'Environmental Studies', 'Unified Engineering', 'Enginering Mathematics- I', 'Engineering Mathematics - II  ', 'Linear Algebra and its Applications', 'Mechanical Engineering Sciences', 'Computer Aided Engineering Graphics', 'Enginering Physics', 'Physics Laboratory ', 'Big Data', 'Digital Image Processing', 'Programming with C++']","['B', 'S', 'A', 'A', 'S', 'S', 'A', 'A', 'A', 'S', 'S', 'S', 'A', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B', 'A', 'S', 'B', 'B', 'A', 'C', 'B', 'AP', 'AP', 'A', 'C', 'C', 'S', 'A', 'A', 'C', 'B', 'S', 'A', 'A']",Intuit,0.0,,,Internship only,,Public Speaking and Debate##Leadership and Organizational Skills##Communication,,,,,,4.0,Cloud computing##Operating System##Machine Learning##Big Data##Data Sience##App Development##Image Processing##Data Structures##Algorithms##,,,,,,,,,,,
4,01FB16ECS012,,93.38696739130435,94.0,CSE,8.95,"['Introduction to Computing using Python', 'Introduction to Computing Using Python  Laboratory', 'Problem Solving With C  ', 'Problem Solving With C  Laboratory', 'Digital Design & Computer Organization', 'Data Structures ', 'Introduction to Data Science', 'Web Technologies 1', 'Discrete Mathematics and Logic', 'Digital Design  & Computer Organization Laboratory', 'Data Structures  Laboratory', 'Web Technologies 1 Laboratory ', 'Design and Analysis of Algorithms', 'Data Base Management Systems ', 'Microprocessors & Computer Architecture', 'Theory of Computation', 'Design and Analysis of Algorithms Laboratory', 'DBMS Laboratory', 'Microprocessor & Computer Architecture  Laboratory', 'Computer Networks ', 'Introduction to Operating Systems', 'Principles of Programming Languages', 'Computer Networks Laboratory', 'Introduction to Operating Systems Laboratory', 'Artificial Intelligence', 'Natural Language Processing', 'Compiler Design', 'Cloud Computing', 'Machine Learning', 'Compiler Design Laboratory', 'Machine Learning Laboratory', 'Object Oriented Modeling and Design', 'Software Engineering ', 'Web Technologies II', 'Topics in Deep Learning', 'Research Credits', 'Introduction to Software Testing', 'Internship', 'Project Work - Minor', 'Engineering Mechanics', 'Engineering Chemistry', 'Chemistry Laboratory ', 'Basic Electronics Engineering', 'Basic Electrical Engineering', 'Constitution of India and Professional Ethics ', 'Environmental Studies', 'Unified Engineering', 'Enginering Mathematics- I', 'Engineering Mathematics - II  ', 'Linear Algebra and its Applications', 'Mechanical Engineering Sciences', 'Computer Aided Engineering Graphics', 'Enginering Physics', 'Physics Laboratory ', 'Introduction to Entrepreneurship - Level 1', 'Big Data', 'Knowledge Management', 'Professional Skills for Software Engineers - I']","['B', 'S', 'A', 'A', 'A', 'S', 'A', 'B', 'A', 'B', 'S', 'S', 'A', 'A', 'A', 'A', 'S', 'A', 'A', 'A', 'S', 'A', 'A', 'A', 'S', 'A', 'A', 'A', 'A', 'A', 'S', 'A', 'A', 'A', 'A', 'A', 'B', 'S', 'B', 'B', 'B', 'B', 'B', 'A', 'AP', 'AP', 'B', 'A', 'S', 'A', 'A', 'B', 'B', 'A', 'A', 'S', 'A', 'A']",Citrix,23.42,1.0,,Full time employment + Internship (Mandatory),,,,,,,,5.0,Cloud computing##Machine Learning##Database Management System##Data Sience##App Development##Image Processing##Data Structures##Deep Learning##Algorithms##,Python##Java##C##JavaScript##HTML##CSS##PHP,,,mrd##,Flask##Spring##MySQL##MongoDB,,,,alcoding##iisc##,,
5,01FB16ECS015,9.4,89.3,89.36,CSE,8.78,"['Introduction to Computing using Python', 'Introduction to Computing Using Python  Laboratory', 'Problem Solving With C  ', 'Problem Solving With C  Laboratory', 'Digital Design & Computer Organization', 'Data Structures ', 'Introduction to Data Science', 'Web Technologies 1', 'Discrete Mathematics and Logic', 'Digital Design  & Computer Organization Laboratory', 'Data Structures  Laboratory', 'Web Technologies 1 Laboratory ', 'Design and Analysis of Algorithms', 'Data Base Management Systems ', 'Microprocessors & Computer Architecture', 'Theory of Computation', 'Design and Analysis of Algorithms Laboratory', 'DBMS Laboratory', 'Microprocessor & Computer Architecture  Laboratory', 'Computer Networks ', 'Introduction to Operating Systems', 'Principles of Programming Languages', 'Computer Networks Laboratory', 'Introduction to Operating Systems Laboratory', 'Artificial Intelligence', 'Computer Network Security', 'Compiler Design', 'Cloud Computing', 'Machine Learning', 'Compiler Design Laboratory', 'Machine Learning Laboratory', 'Programming with Java', 'Object Oriented Modeling and Design', 'Software Engineering ', 'Web Technologies II', 'Wireless Network Communications', 'Information Security', 'Introduction to Software Testing', 'Internship', 'Project Work - Minor', 'Engineering Mechanics', 'Engineering Chemistry', 'Chemistry Laboratory ', 'Basic Electronics Engineering', 'Basic Electrical Engineering', 'Constitution of India and Professional Ethics ', 'Environmental Studies', 'Unified Engineering', 'Enginering Mathematics- I', 'Engineering Mathematics - II  ', 'Linear Algebra and its Applications', 'Mechanical Engineering Sciences', 'Computer Aided Engineering Graphics', 'Enginering Physics', 'Physics Laboratory ', 'Big Data', 'Knowledge Management']","['B', 'S', 'B', 'A', 'B', 'A', 'B', 'B', 'B', 'B', 'A', 'S', 'S', 'A', 'A', 'A', 'S', 'S', 'S', 'S', 'S', 'S', 'A', 'S', 'A', 'S', 'B', 'A', 'B', 'B', 'A', 'B', 'B', 'A', 'A', 'A', 'B', 'B', 'A', 'A', 'S', 'B', 'A', 'C', 'B', 'AP', 'AP', 'A', 'A', 'B', 'S', 'A', 'B', 'B', 'A', 'A', 'A']",Novarties Healthcare,8.36,1.0,Wildlife#Space#Cricket,Full time employment + Internship (Mandatory),,,Kannada##Hindi##English##Marathi,,,,,9.0,Cloud computing##Machine Learning##Web Development##C##Image Processing##,"Python# Php# Javascript##CSS## W3.CSS## HTML5##C
",,,,"Web Scraping ## Ajax##Flask##Photoshop## Lightroom## Premier Pro
",,,,,,
6,01FB16ECS016,95.0,95.0,95.0,CSE,9.89,"['Introduction to Computing using Python', 'Introduction to Computing Using Python  Laboratory', 'Problem Solving With C  ', 'Problem Solving With C  Laboratory', 'Digital Design & Computer Organization', 'Data Structures ', 'Introduction to Data Science', 'Web Technologies 1', 'Discrete Mathematics and Logic', 'Digital Design  & Computer Organization Laboratory', 'Data Structures  Laboratory', 'Web Technologies 1 Laboratory ', 'Design and Analysis of Algorithms', 'Data Base Management Systems ', 'Microprocessors & Computer Architecture', 'Theory of Computation', 'Design and Analysis of Algorithms Laboratory', 'DBMS Laboratory', 'Microprocessor & Computer Architecture  Laboratory', 'Computer Networks ', 'Introduction to Operating Systems', 'Principles of Programming Languages', 'Computer Networks Laboratory', 'Introduction to Operating Systems Laboratory', 'Artificial Intelligence', 'Natural Language Processing', 'Compiler Design', 'Cloud Computing', 'Machine Learning', 'Compiler Design Laboratory', 'Machine Learning Laboratory', 'Object Oriented Modeling and Design', 'Software Engineering ', 'Web Technologies II', 'Topics in Deep Learning', 'Research Credits', 'Research Methodology', 'Internship', 'Project Work - Minor', 'Engineering Mechanics', 'Engineering Chemistry', 'Chemistry Laboratory ', 'Basic Electronics Engineering', 'Basic Electrical Engineering', 'Constitution of India and Professional Ethics ', 'Environmental Studies', 'Unified Engineering', 'Enginering Mathematics- I', 'Engineering Mathematics - II  ', 'Linear Algebra and its Applications', 'Mechanical Engineering Sciences', 'Computer Aided Engineering Graphics', 'Enginering Physics', 'Physics Laboratory ', 'Advanced Algorithms', 'Digital Image Processing', 'Professional Skills for Software Engineers - I']","['S', 'S', 'S', 'S', 'S', 'S', 'A', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'A', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'A', 'A', 'S', 'S', 'S', 'S', 'S', 'S', 'AP', 'AP', 'S', 'S', 'A', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']",Cisco Systems,0.0,,"Enthusiastic about travelling, photography, reading",Internship only,"Participated in the #Code Hackathon hosted by the Microsoft Innovation Lab, PES University wherein a gesture sign recognition module was developed to aid speech-impaired people and an accuracy score of 87% was achieved on a test dataset in classifying gestures into their corresponding alphanumeric representation ##Chosen among the top 100 teams shortlisted for presentation at the National Level Techno Exhibition at Dr Ambedkar Institute of Technology, 2017 for exhibiting a dual axis solar tracker model, for facilitating solar panels to effectively harness solar power by changing orientation of panels with the sun’s movement. ##Volunteered in organizing events in the Lit and Quiz domain for Atmatrisha 2017, the cultural University Fest ##Presented a cyber-bullying detection system on behalf of Dept of CSE at Prakalpa 2018, the annual technical fest of the University, implemented as a web app to scrape tweets of a logged in user and determine whether he has been bullied online or not",,Tamil##English##Hindi##Bengali,,4,Cloud computing##Operating System##Machine Learning##Image Processing##Deep Learning##,Walmart Labs##CDSAML##,6.0,Cloud computing##Operating System##Web Development##Compiler Design##IoT##Data Sience## c Unix##Image Processing##Algorithms##Computer Vision##,C##Python##Java## HTML##CSS##Javascript##PHP,,Operating System##Machine Learning##Deep Learning##Computer Networks##,cnr##mrd##,MySQL##OpenCV##keras##scikit-learn##matplotlib## latex,,,Machine Learning##Image Processing##Deep Learning##,distinction award##olympiad##olympiad##math##,,
7,01FB16ECS016,95.0,95.0,95.0,CSE,9.89,"['Introduction to Computing using Python', 'Introduction to Computing Using Python  Laboratory', 'Problem Solving With C  ', 'Problem Solving With C  Laboratory', 'Digital Design & Computer Organization', 'Data Structures ', 'Introduction to Data Science', 'Web Technologies 1', 'Discrete Mathematics and Logic', 'Digital Design  & Computer Organization Laboratory', 'Data Structures  Laboratory', 'Web Technologies 1 Laboratory ', 'Design and Analysis of Algorithms', 'Data Base Management Systems ', 'Microprocessors & Computer Architecture', 'Theory of Computation', 'Design and Analysis of Algorithms Laboratory', 'DBMS Laboratory', 'Microprocessor & Computer Architecture  Laboratory', 'Computer Networks ', 'Introduction to Operating Systems', 'Principles of Programming Languages', 'Computer Networks Laboratory', 'Introduction to Operating Systems Laboratory', 'Artificial Intelligence', 'Natural Language Processing', 'Compiler Design', 'Cloud Computing', 'Machine Learning', 'Compiler Design Laboratory', 'Machine Learning Laboratory', 'Object Oriented Modeling and Design', 'Software Engineering ', 'Web Technologies II', 'Topics in Deep Learning', 'Research Credits', 'Research Methodology', 'Internship', 'Project Work - Minor', 'Engineering Mechanics', 'Engineering Chemistry', 'Chemistry Laboratory ', 'Basic Electronics Engineering', 'Basic Electrical Engineering', 'Constitution of India and Professional Ethics ', 'Environmental Studies', 'Unified Engineering', 'Enginering Mathematics- I', 'Engineering Mathematics - II  ', 'Linear Algebra and its Applications', 'Mechanical Engineering Sciences', 'Computer Aided Engineering Graphics', 'Enginering Physics', 'Physics Laboratory ', 'Advanced Algorithms', 'Digital Image Processing', 'Professional Skills for Software Engineers - I']","['S', 'S', 'S', 'S', 'S', 'S', 'A', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'A', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'A', 'A', 'S', 'S', 'S', 'S', 'S', 'S', 'AP', 'AP', 'S', 'S', 'A', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']",Optum,11.59,1.0,"Enthusiastic about travelling, photography, reading",Full time employment only,"Participated in the #Code Hackathon hosted by the Microsoft Innovation Lab, PES University wherein a gesture sign recognition module was developed to aid speech-impaired people and an accuracy score of 87% was achieved on a test dataset in classifying gestures into their corresponding alphanumeric representation ##Chosen among the top 100 teams shortlisted for presentation at the National Level Techno Exhibition at Dr Ambedkar Institute of Technology, 2017 for exhibiting a dual axis solar tracker model, for facilitating solar panels to effectively harness solar power by changing orientation of panels with the sun’s movement. ##Volunteered in organizing events in the Lit and Quiz domain for Atmatrisha 2017, the cultural University Fest ##Presented a cyber-bullying detection system on behalf of Dept of CSE at Prakalpa 2018, the annual technical fest of the University, implemented as a web app to scrape tweets of a logged in user and determine whether he has been bullied online or not",,Tamil##English##Hindi##Bengali,,4,Cloud computing##Operating System##Machine Learning##Image Processing##Deep Learning##,Walmart Labs##CDSAML##,6.0,Cloud computing##Operating System##Web Development##Compiler Design##IoT##Data Sience## c Unix##Image Processing##Algorithms##Computer Vision##,C##Python##Java## HTML##CSS##Javascript##PHP,,Operating System##Machine Learning##Deep Learning##Computer Networks##,cnr##mrd##,MySQL##OpenCV##keras##scikit-learn##matplotlib## latex,,,Machine Learning##Image Processing##Deep Learning##,distinction award##olympiad##olympiad##math##,,
8,01FB16ECS017,94.2,94.2,89.2,CSE,9.39,"['Introduction to Computing using Python', 'Introduction to Computing Using Python  Laboratory', 'Problem Solving With C  ', 'Problem Solving With C  Laboratory', 'Digital Design & Computer Organization', 'Data Structures ', 'Introduction to Data Science', 'Web Technologies 1', 'Discrete Mathematics and Logic', 'Digital Design  & Computer Organization Laboratory', 'Data Structures  Laboratory', 'Web Technologies 1 Laboratory ', 'Design and Analysis of Algorithms', 'Data Base Management Systems ', 'Microprocessors & Computer Architecture', 'Theory of Computation', 'Design and Analysis of Algorithms Laboratory', 'DBMS Laboratory', 'Microprocessor & Computer Architecture  Laboratory', 'Computer Networks ', 'Introduction to Operating Systems', 'Principles of Programming Languages', 'Computer Networks Laboratory', 'Introduction to Operating Systems Laboratory', 'Natural Language Processing', 'Compiler Design', 'Cloud Computing', 'Machine Learning', 'Compiler Design Laboratory', 'Machine Learning Laboratory', 'Object Oriented Modeling and Design', 'Software Engineering ', 'Web Technologies II', 'Topics in Deep Learning', 'Research Credits', 'Research Methodology', 'Internship', 'Project Work - Minor', 'Engineering Mechanics', 'Engineering Chemistry', 'Chemistry Laboratory ', 'Basic Electronics Engineering', 'Basic Electrical Engineering', 'Constitution of India and Professional Ethics ', 'Environmental Studies', 'Unified Engineering', 'Enginering Mathematics- I', 'Engineering Mathematics - II  ', 'Linear Algebra and its Applications', 'Mechanical Engineering Sciences', 'Computer Aided Engineering Graphics', 'Enginering Physics', 'Physics Laboratory ', 'CIE - Level I', 'Professional Skills for Sofware Engineers', 'Advanced Algorithms', 'Fuzzy Logic', 'Digital Image Processing']","['S', 'S', 'S', 'S', 'A', 'S', 'B', 'A', 'A', 'A', 'S', 'S', 'S', 'S', 'A', 'A', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'A', 'A', 'S', 'S', 'S', 'A', 'S', 'A', 'S', 'A', 'A', 'S', 'B', 'S', 'S', 'B', 'B', 'AP', 'AP', 'S', 'B', 'B', 'A', 'A', 'A', 'A', 'A', 'S', 'S', 'S', 'S', 'S']",Cisco Systems,29.0,1.0,,Full time employment + Internship (Mandatory),Qualified Codechef Smackdown 2017 and 2019 Qualifier and Pre-Elimination round.##Cleared Qualifier Round of Facebook Hacker Cup 2018 and 2019.,,,,1,Machine Learning##Natural Language Processing##Image Processing##,CDSAML##,5.0,Cloud computing##Operating System##Database Management System##Web Development##Compiler Design##IoT##Data Sience## c Unix##Image Processing##,C##C++,,Machine Learning##,cnr##,SQL,,,,hackerearth##,,
9,01FB16ECS018,94.5,94.5,94.5,CSE,9.04,"['Introduction to Computing using Python', 'Introduction to Computing Using Python  Laboratory', 'Problem Solving With C  ', 'Problem Solving With C  Laboratory', 'Digital Design & Computer Organization', 'Data Structures ', 'Introduction to Data Science', 'Web Technologies 1', 'Discrete Mathematics and Logic', 'Digital Design  & Computer Organization Laboratory', 'Data Structures  Laboratory', 'Web Technologies 1 Laboratory ', 'Design and Analysis of Algorithms', 'Data Base Management Systems ', 'Microprocessors & Computer Architecture', 'Theory of Computation', 'Design and Analysis of Algorithms Laboratory', 'DBMS Laboratory', 'Microprocessor & Computer Architecture  Laboratory', 'Computer Networks ', 'Introduction to Operating Systems', 'Principles of Programming Languages', 'Computer Networks Laboratory', 'Introduction to Operating Systems Laboratory', 'Data Analytics', 'Compiler Design', 'Cloud Computing', 'Machine Learning', 'Compiler Design Laboratory', 'Machine Learning Laboratory', 'Mini Project', 'Object Oriented Modeling and Design', 'Software Engineering ', 'Web Technologies II', 'Topics in Deep Learning', 'Design Pattern', 'Research Methodology', 'Internship', 'Project Work - Minor', 'Engineering Mechanics', 'Engineering Chemistry', 'Chemistry Laboratory ', 'Basic Electronics Engineering', 'Basic Electrical Engineering', 'Constitution of India and Professional Ethics ', 'Environmental Studies', 'Unified Engineering', 'Enginering Mathematics- I', 'Engineering Mathematics - II  ', 'Linear Algebra and its Applications', 'Mechanical Engineering Sciences', 'Computer Aided Engineering Graphics', 'Enginering Physics', 'Physics Laboratory ', 'Introduction to Entrepreneurship - Level 1', 'Advanced Algorithms', 'Generic Programming', 'Digital Image Processing']","['A', 'S', 'S', 'S', 'A', 'S', 'B', 'A', 'B', 'S', 'S', 'S', 'A', 'A', 'A', 'B', 'A', 'A', 'S', 'A', 'A', 'S', 'S', 'A', 'S', 'A', 'A', 'A', 'S', 'S', 'A', 'S', 'A', 'S', 'A', 'A', 'A', 'A', 'A', 'B', 'A', 'A', 'A', 'B', 'AP', 'AP', 'A', 'B', 'B', 'A', 'A', 'A', 'B', 'A', 'S', 'A', 'S', 'A']",Optum,11.59,1.0,,Full time employment only,"National Rank 500 in the NSTSE Exam (2015)
National Science Olympiad - International rank
150, State rank 86 (2012)",,,,2,Image Processing##Software Development##,Wipro##,9.0,Cloud computing##Operating System##Machine Learning##Database Management System##Compiler Design##Big Data##Data Sience##Image Processing##Data Structures##Deep Learning##Algorithms##,"C ##C++##Java ## Python##HTML## CSS##JavaScript##PHP##R
",,,cnr##,NodeJS##Flask,,,,,,
